learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
training,1.9kW,Proposed,1,1,0.0,0.0,22,50.01161111111111,1.9,0.0,1.4736842105263157,1.4736842105263157,0.0,0.0,0.0,30
training,2.8kW,Proposed,1,1,0.0,0.0,2,50.00155555555556,2.8,0.0,1.0,1.0,0.0,0.0,0.0,30
evaluation,1.9kW,Proposed,1,0,0.8935520869050205,0.0185390301048755,0,50.14091666666666,1.9,125.12930034330012,131.57894736842104,131.57894736842104,0.0,37.4,13.9,274
evaluation,2.8kW,Proposed,1,0,0.8552709006746766,0.0228559877723455,0,50.19211111111111,2.8,138.48268366952297,89.2857142857143,89.2857142857143,0.0,8.1,13.9,274
evaluation,7.7kW,Proposed,1,0,0.0,0.0,0,50.47697222222222,7.7,0.0,32.467532467532465,32.467532467532465,0.0,0.0,0.0,274
evaluation,11.5kW,Proposed,1,0,0.0,0.0,0,50.64847222222223,11.5,0.0,21.73913043478261,21.73913043478261,0.0,0.0,0.0,274
evaluation,120.0kW,Proposed,1,0,0.0,0.0,0,56.1,120.0,0.0,2.083333333333333,2.083333333333333,0.0,0.0,0.0,274
evaluation,250.0kW,Proposed,1,0,0.0,0.0,0,61.31944444444444,250.0,0.0,1.0,1.0,0.0,0.0,0.0,274
training,1.9kW,Proposed,2,1,0.3495605587959289,0.0554090291261673,261,50.26203743753217,1.9,216.32453639803543,131.57894736842104,131.57894736842104,0.2293686777170672,23.8,14.7,290
training,2.8kW,Proposed,2,1,0.2968661487102508,0.0617071725428104,261,50.375450876065656,2.8,227.542904448986,89.2857142857143,89.2857142857143,0.2711756557994322,14.7,14.7,290
training,7.7kW,Proposed,2,1,0.3787260055541992,0.0538469813764095,239,50.972720538184085,7.7,216.73425498891288,32.467532467532465,32.467532467532465,0.2326613495283636,27.8,14.7,290
training,11.5kW,Proposed,2,1,0.221795916557312,0.0628440007567405,219,51.33002335416969,11.5,234.14171162812312,21.73913043478261,21.73913043478261,0.2964197488088095,2.1,14.7,290
training,120.0kW,Proposed,2,0,0.0,0.0,0,62.73333333333333,120.0,0.0,2.083333333333333,2.083333333333333,0.0,0.0,0.0,290
training,250.0kW,Proposed,2,0,0.0,0.0,0,73.75,250.0,0.0,1.0,1.0,0.0,0.0,0.0,290
evaluation,1.9kW,Proposed,2,0,0.9267558871256982,0.0071946056559681,0,50.5676207708655,1.9,77.95051858333048,131.57894736842104,131.57894736842104,0.0,94.7,15.6,870
evaluation,2.8kW,Proposed,2,0,0.8997143838768666,0.0089449919760227,0,50.82578420939899,2.8,86.63341842172522,89.2857142857143,89.2857142857143,0.0,95.8,15.6,870
evaluation,7.7kW,Proposed,2,0,0.9372682797566408,0.006666506640613,0,52.21113720485075,7.7,76.25986537477407,32.467532467532465,32.467532467532465,0.0,81.1,15.6,870
evaluation,11.5kW,Proposed,2,0,0.9338178247508164,0.007313622161746,0,53.17960668750303,11.5,79.8754165844042,21.73913043478261,21.73913043478261,0.0,87.0,15.6,870
evaluation,120.0kW,Proposed,2,0,0.8378785780903661,0.0159739162772893,0,82.03333333333333,120.0,117.2880263084906,2.083333333333333,2.083333333333333,0.0,7.8,15.6,870
evaluation,250.0kW,Proposed,2,0,0.9337405502948184,0.0074910358525812,0,100.0,250.0,79.71325951577556,1.0,1.0,0.0,50.5,15.6,870
training,1.9kW,Proposed,3,1,0.8841772079467773,0.0087500857189297,587,50.83850964162365,1.9,85.96499953390939,131.57894736842104,131.57894736842104,0.2386713207336519,16.7,15.7,878
training,2.8kW,Proposed,3,1,0.6902741193771362,0.019828924909234,587,51.2346569682075,2.8,128.98673737498083,89.2857142857143,89.2857142857143,0.2924328250244229,7.9,15.7,878
training,7.7kW,Proposed,3,1,0.9245060086250304,0.0082845790311694,587,53.433538656962725,7.7,85.01236513187258,32.467532467532465,32.467532467532465,0.2031597485466544,76.7,15.7,878
training,11.5kW,Proposed,3,1,0.8687837719917297,0.0081842625513672,587,55.008557109202606,11.5,84.49609779309668,21.73913043478261,21.73913043478261,0.2832682825920048,74.8,15.7,878
training,120.0kW,Proposed,3,0,0.0,0.0,0,100.0,120.0,0.0,2.083333333333333,2.083333333333333,0.0,7.8,15.6,878
training,250.0kW,Proposed,3,0,0.0,0.0,0,100.0,250.0,0.0,1.0,1.0,0.0,50.5,15.6,878
evaluation,1.9kW,Proposed,3,0,0.9382222701494106,0.0056509906426072,0,51.14198186384588,1.9,69.08405248761098,131.57894736842104,131.57894736842104,0.0,73.0,15.1,1452
evaluation,2.8kW,Proposed,3,0,0.9263792223224284,0.0074415453709661,0,51.681879190429726,2.8,79.01818330473951,89.2857142857143,89.2857142857143,0.0,48.3,15.1,1452
evaluation,7.7kW,Proposed,3,0,0.9370622246898438,0.0054473024792969,0,54.66339976807384,7.7,68.93465747814771,32.467532467532465,32.467532467532465,0.0,6.1,15.1,1452
evaluation,11.5kW,Proposed,3,0,0.9419325052022196,0.0060562971048057,0,56.84536266475816,11.5,72.68594855376028,21.73913043478261,21.73913043478261,0.0,74.7,15.1,1452
evaluation,120.0kW,Proposed,3,0,0.876907829895234,0.0130994189530611,0,100.0,120.0,106.21209917741469,2.083333333333333,2.083333333333333,0.0,94.8,15.1,1452
evaluation,250.0kW,Proposed,3,0,0.938682618308356,0.006336803548038,0,100.0,250.0,73.31532294405656,1.0,1.0,0.0,72.5,15.1,1452
