learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
training,250.0kW,Proposed,4,0,0.0,0.0,0,100.0,250.0,0.0,1.0,0.5,0.0,85.6,15.9,1473
evaluation,1.9kW,Proposed,4,0,0.9447408848992592,0.0050253090448677,0,51.71524655706544,1.9,65.14737164492944,66.04651144477363,65.59694154485153,0.0,88.8,15.9,2056
evaluation,2.8kW,Proposed,4,0,0.932908033643044,0.0064453692175447,0,52.58300320633321,2.8,73.53928007667919,44.9035049366666,59.2213925066729,0.0,8.0,15.9,2056
evaluation,7.7kW,Proposed,4,0,0.9427534477235616,0.0052685122936964,0,57.15188449980114,7.7,67.79394007195495,16.513290795154127,42.153615433554535,0.0,15.8,15.9,2056
evaluation,11.5kW,Proposed,4,0,0.9420037048935888,0.0057155000977218,0,60.70532382129998,11.5,70.61126541316344,11.163780030942249,40.88752272205284,0.0,83.6,15.9,2056
evaluation,120.0kW,Proposed,4,0,0.8846012291247263,0.011510138399899,0,100.0,120.0,99.56077052624003,1.5416666666666667,50.55121859645335,0.0,89.0,15.9,2056
evaluation,250.0kW,Proposed,4,0,0.9418213770631496,0.0056199911050498,0,100.0,250.0,69.04423853543892,1.0,35.02211926771946,0.0,74.2,15.9,2056
training,1.9kW,Proposed,5,1,0.9211028218269348,0.0056014945730566,591,51.9844319274682,1.9,68.78083932401042,66.04804991699585,67.41444462050313,0.2602921599831752,11.9,15.9,2064
training,2.8kW,Proposed,5,1,0.7518642544746399,0.0153740039095282,591,52.999086644326354,2.8,113.5766271039651,44.905772158888816,79.24119963142695,0.2654815959808341,14.6,15.9,2064
training,7.7kW,Proposed,5,1,0.94203782081604,0.0051555279642343,591,58.37420828500809,7.7,67.06307294456184,16.519525656265238,41.79129930041354,0.2543728819881412,71.8,15.9,2064
training,11.5kW,Proposed,5,0,0.0,0.0,0,62.593240487966646,11.5,0.0,11.173091836497804,5.586545918248902,0.0,83.6,15.9,2064
training,120.0kW,Proposed,5,1,0.4096611738204956,0.045133326202631,591,100.0,120.0,197.14993885996157,1.5416666666666667,99.3458027633141,0.2554015860481788,37.6,15.9,2064
training,250.0kW,Proposed,5,0,0.0,0.0,0,100.0,250.0,0.0,1.0,0.5,0.0,74.2,15.9,2064
evaluation,1.9kW,Proposed,5,0,0.9441767963840056,0.0048360796645283,0,52.29212637191264,1.9,63.909031267527006,66.04939584384786,64.97921355568744,0.0,85.2,15.9,2647
evaluation,2.8kW,Proposed,5,0,0.9367420975291748,0.0060596051625907,0,53.4525310887708,2.8,71.30461464241104,44.90785257607878,58.10623360924491,0.0,8.0,15.9,2647
evaluation,7.7kW,Proposed,5,0,0.9556958442125404,0.0045344256795942,0,59.62118050723031,7.7,62.893826788868125,16.525637275191272,39.7097320320297,0.0,49.6,15.9,2647
evaluation,11.5kW,Proposed,5,0,0.9533754145070888,0.004932171665132,0,64.45560159907775,11.5,65.59427982002646,11.182531419831138,38.3884056199288,0.0,85.5,15.9,2647
evaluation,120.0kW,Proposed,5,0,0.886501061955682,0.0104419076815247,0,100.0,120.0,94.82828599529896,1.5416666666666667,48.18497633098282,0.0,84.7,15.9,2647
evaluation,250.0kW,Proposed,5,0,0.955307192693676,0.0051640952005982,0,100.0,250.0,66.18456978065697,1.0,33.592284890328486,0.0,81.4,15.9,2647
training,1.9kW,Proposed,6,1,0.9243205785751344,0.0051221754401922,591,52.55880686154151,1.9,65.77225563977706,66.05093431607008,65.91159497792357,0.2755503169815761,12.2,15.9,2654
training,2.8kW,Proposed,6,1,0.7712422013282776,0.0141266537830233,591,53.86931484483066,2.8,108.8717301073536,44.91011979830101,76.8909249528273,0.2612156991277208,12.2,15.9,2654
training,7.7kW,Proposed,6,1,0.9432770013809204,0.0046508437953889,591,60.84725914244183,7.7,63.69608692824318,16.531872136302383,40.11397953227278,0.2315006992191424,82.2,15.9,2654
training,11.5kW,Proposed,6,0,0.0,0.0,0,66.34351826574442,11.5,0.0,11.191843225386693,5.595921612693346,0.0,85.5,15.9,2654
training,120.0kW,Proposed,6,1,0.4388707280158996,0.0444130674004554,591,100.0,120.0,195.57050656015045,1.5416666666666667,98.55608661340855,0.2454731548865515,34.6,15.9,2654
training,250.0kW,Proposed,6,0,0.0,0.0,0,100.0,250.0,0.0,1.0,0.5,0.0,81.4,15.9,2654
evaluation,1.9kW,Proposed,6,0,0.9533850850385898,0.0042802789248526,0,52.86650130598595,1.9,60.12450955352937,66.05226771851822,63.088388636023794,0.0,86.5,15.9,3238
evaluation,2.8kW,Proposed,6,0,0.9364762241269204,0.005456993356347,0,54.32275928927511,2.8,67.66626203362469,44.9122037170813,56.289232875352994,0.0,7.9,15.9,3238
evaluation,7.7kW,Proposed,6,0,0.9554754928105496,0.0042869169265031,0,62.09423136466405,7.7,61.153231331930535,16.53800252947844,38.84561693070449,0.0,27.3,15.9,3238
evaluation,11.5kW,Proposed,6,0,0.9494117522435296,0.0046261278912425,0,68.20587937685553,11.5,63.52661192518255,11.201282808720029,37.36394736695129,0.0,79.0,15.9,3238
evaluation,120.0kW,Proposed,6,0,0.9001420494604194,0.0096977334469556,0,100.0,120.0,91.3867215780448,1.5416666666666667,46.46419412235574,0.0,82.7,15.9,3238
evaluation,250.0kW,Proposed,6,0,0.9561403520474528,0.004806772340089,0,100.0,250.0,63.85374990186171,1.0,32.42687495093085,0.0,89.4,15.9,3238
training,1.9kW,Proposed,7,1,0.9290409684181212,0.0048239803873002,591,53.13489760453557,1.9,63.82903492830428,66.05380619074045,64.94142055952236,0.26509868903786,12.1,15.9,3246
training,2.8kW,Proposed,7,1,0.7777144312858582,0.0136541686952114,591,54.74146062469715,2.8,107.03556497131832,44.91447093930353,75.97501795531093,0.249535012657589,15.2,15.9,3246
training,7.7kW,Proposed,7,1,0.9454184770584106,0.0044068186543881,591,63.309929764214,7.7,62.00253780344368,16.54423739058955,39.273387597016615,0.2947305611170295,88.1,15.9,3246
training,11.5kW,Proposed,7,0,0.0,0.0,0,70.0937960435222,11.5,0.0,11.210594614275582,5.605297307137791,0.0,79.0,15.9,3246
training,120.0kW,Proposed,7,1,0.4721913933753967,0.042946420609951,591,100.0,120.0,192.314248787135,1.5416666666666667,96.92795772690084,0.2308872762537065,91.4,15.9,3246
training,250.0kW,Proposed,7,0,0.0,0.0,0,100.0,250.0,0.0,1.0,0.5,0.0,89.4,15.9,3246
evaluation,1.9kW,Proposed,7,0,0.953053585409812,0.0043063070625066,0,53.44311982675779,1.9,60.30703938196353,66.0551481722332,63.18109377709837,0.0,78.0,16.0,3829
evaluation,2.8kW,Proposed,7,0,0.9369262512570956,0.0052494844421744,0,55.19568284691937,2.8,66.3672465762526,44.91656444598064,55.64190551111662,0.0,8.3,16.0,3829
evaluation,7.7kW,Proposed,7,0,0.9576175720048492,0.0041229035705327,0,64.55904087532511,7.7,59.97199068878496,16.550315882587302,38.26115328568613,0.0,44.8,16.0,3829
evaluation,11.5kW,Proposed,7,0,0.9563924727750872,0.0041797268204391,0,71.95935159907776,11.5,60.38385355515969,11.220034197608916,35.8019438763843,0.0,83.0,16.0,3829
