learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
training,1.9kW,proposed,1,1,0.0,0.0,22,50.01161111111111,1.9,0.0,0.986842105263158,0.986842105263158,0.0,0.0,0.0,30
training,2.8kW,proposed,1,1,0.0,0.0,2,50.00155555555556,2.8,0.0,0.75,0.75,0.0,0.0,0.0,30
evaluation,1.9kW,proposed,1,0,0.8970492844359542,0.0177012793719768,0,50.14461111111111,1.9,122.26941648538336,66.03953173976608,66.03953173976608,0.0,7.0,13.2,281
evaluation,2.8kW,proposed,1,0,0.8674017629747853,0.0201407335698604,0,50.19755555555555,2.8,129.99693591078537,44.89286492063493,44.89286492063493,0.0,56.4,13.2,281
evaluation,7.7kW,proposed,1,0,0.0,0.0,0,50.49194444444444,7.7,0.0,16.483766233766232,16.483766233766232,0.0,0.0,0.0,281
evaluation,11.5kW,proposed,1,0,0.0,0.0,0,50.67083333333333,11.5,0.0,11.119565217391305,11.119565217391305,0.0,0.0,0.0,281
evaluation,120.0kW,proposed,1,0,0.0,0.0,0,56.333333333333336,120.0,0.0,1.2916666666666667,1.2916666666666667,0.0,0.0,0.0,281
evaluation,250.0kW,proposed,1,0,0.0,0.0,0,61.80555555555556,250.0,0.0,0.75,0.75,0.0,0.0,0.0,281
training,1.9kW,proposed,2,1,0.0466879941523075,0.0508149489760398,266,50.26836063949427,1.9,207.16255482628424,66.04019673976607,66.04019673976607,0.2251943527091216,13.0,14.0,295
training,2.8kW,proposed,2,1,0.1446116268634796,0.0507461205124855,266,50.38633481106389,2.8,206.3464002417392,44.89384492063493,44.89384492063493,0.2450927825939193,29.5,14.0,295
training,7.7kW,proposed,2,1,0.0567295141518116,0.0481758378446102,244,50.99633788499927,7.7,205.00361264810132,16.486225955988456,16.486225955988456,0.2581295655844684,13.8,14.0,295
training,11.5kW,proposed,2,1,0.0006298396037891,0.0599337890744209,224,51.37309613949007,11.5,228.6560747100447,11.12291938405797,11.12291938405797,0.2136334724809927,0.1,14.0,295
training,120.0kW,proposed,2,0,0.0,0.0,0,63.13333333333333,120.0,0.0,1.3233333333333337,1.3233333333333337,0.0,0.0,0.0,295
training,250.0kW,proposed,2,0,0.0,0.0,0,74.58333333333334,250.0,0.0,0.8090277777777778,0.8090277777777778,0.0,0.0,0.0,295
evaluation,1.9kW,proposed,2,0,0.9269615284074364,0.0069191576912999,0,50.58080508393871,1.9,76.44377501747246,66.040815487408,66.040815487408,0.0,85.9,14.9,888
evaluation,2.8kW,proposed,2,0,0.9121821999937816,0.008595161139965,0,50.84677925550833,2.8,84.92244417970153,44.89478881691248,44.89478881691248,0.0,92.0,14.9,888
evaluation,7.7kW,proposed,2,0,0.9355895939993908,0.0064710173755884,0,52.262560107221496,7.7,75.13342021829439,16.48874792319123,16.48874792319123,0.0,68.4,14.9,888
evaluation,11.5kW,proposed,2,0,0.9341408582218356,0.0072156735695898,0,53.26420725060118,11.5,79.33874294739692,11.126430698088756,11.126430698088756,0.0,77.9,14.9,888
evaluation,120.0kW,proposed,2,0,0.8545948125733093,0.0148229571059346,0,82.86666666666667,120.0,112.98359833319702,1.3573333333333335,1.3573333333333335,0.0,7.9,15.0,888
evaluation,250.0kW,proposed,2,0,0.926014454306647,0.007184412330389,0,100.0,250.0,78.06480064370571,0.8729166666666668,0.8729166666666668,0.0,49.9,15.0,888
training,1.9kW,proposed,3,1,0.84452885389328,0.0086633842438459,601,50.85519222825042,1.9,85.53804101314672,66.04237770963022,66.04237770963022,0.2564164400629867,6.8,15.0,896
training,2.8kW,proposed,3,1,0.6928732991218567,0.0199736207723617,601,51.28076344909214,2.8,129.45650370211135,44.89709103913469,44.89709103913469,0.200427459398137,23.1,15.0,896
training,7.7kW,proposed,3,1,0.8698819875717163,0.0079447608441114,601,53.51393606705563,7.7,83.25058432783328,16.49507903430234,16.49507903430234,0.204237179030143,74.4,15.0,896
training,11.5kW,proposed,3,1,0.8360255360603333,0.0078918756917119,601,55.14745111831466,11.5,82.9730384577968,11.13588625364431,11.13588625364431,0.2193378972237468,62.1,15.0,896
training,120.0kW,proposed,3,0,0.0,0.0,0,100.0,120.0,0.0,1.4560000000000002,1.4560000000000002,0.0,7.9,15.0,896
training,250.0kW,proposed,3,0,0.0,0.0,0,100.0,250.0,0.0,1.0,1.0,0.0,49.9,15.0,896
evaluation,1.9kW,proposed,3,0,0.9381122533007328,0.0055351536720991,0,51.16499778380598,1.9,68.37232569147915,66.04374964535177,66.04374964535177,0.0,7.4,15.0,1484
evaluation,2.8kW,proposed,3,0,0.9285668848766157,0.0070880558341741,0,51.737319004647695,2.8,77.11858255958049,44.899260960102616,44.899260960102616,0.0,90.5,15.0,1484
evaluation,7.7kW,proposed,3,0,0.9439885807640672,0.0056292968802154,0,54.76946384483341,7.7,70.07675013324456,16.50133591410151,16.50133591410151,0.0,39.9,15.0,1484
evaluation,11.5kW,proposed,3,0,0.93540913261866,0.0060355919413268,0,57.022590007203554,11.5,72.56159344700289,11.14530247298288,11.14530247298288,0.0,24.6,15.0,1484
evaluation,120.0kW,proposed,3,0,0.8720816118891865,0.0123853432014584,0,100.0,120.0,103.27661593799826,1.5416666666666667,1.5416666666666667,0.0,90.2,15.0,1484
evaluation,250.0kW,proposed,3,0,0.9391574272960068,0.0060399863868951,0,100.0,250.0,71.57767873301253,1.0,1.0,0.0,87.2,15.0,1484
