learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
training,1.9kW,Proposed,1,1,0.0,0.0,23,50.01213888888889,1.9,0.0,1.4736842105263157,0.0,0.0,0.0,0.0,30
training,2.8kW,Proposed,1,1,0.0,0.0,3,50.00233333333333,2.8,0.0,1.0,0.0,0.0,0.0,0.0,30
evaluation,1.9kW,Proposed,1,0,0.8887851022224238,0.0212990585714578,0,50.142500000000005,1.9,134.12067031658106,131.57894736842104,134.12067031658106,0.0,52.5,13.5,277
evaluation,2.8kW,Proposed,1,0,0.8330903477091544,0.0256566274911165,0,50.19444444444444,2.8,146.72200665267042,89.2857142857143,146.72200665267042,0.0,7.9,13.5,277
evaluation,7.7kW,Proposed,1,0,0.0,0.0,0,50.48338888888889,7.7,0.0,32.467532467532465,0.0,0.0,0.0,0.0,277
evaluation,11.5kW,Proposed,1,0,0.0,0.0,0,50.65805555555556,11.5,0.0,21.73913043478261,0.0,0.0,0.0,0.0,277
evaluation,120.0kW,Proposed,1,0,0.0,0.0,0,56.2,120.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,277
evaluation,250.0kW,Proposed,1,0,0.0,0.0,0,61.458333333333336,250.0,0.0,1.0,0.0,0.0,0.0,0.0,277
training,1.9kW,Proposed,2,1,0.0,0.0616736114025116,262,50.26030326847661,1.9,228.2260434738257,131.57894736842104,228.2260434738257,0.2813291354359378,18.5,14.2,292
training,2.8kW,Proposed,2,1,0.0002240041794721,0.0680073872208595,262,50.37942737743165,2.8,238.87655031832972,89.2857142857143,238.87655031832972,0.2582497757483456,23.1,14.2,292
training,7.7kW,Proposed,2,1,5.592665183939971e-05,0.0609248653054237,241,50.983623249708,7.7,230.5388726405554,32.467532467532465,230.5388726405554,0.2276195064365,13.2,14.3,292
training,11.5kW,Proposed,2,1,0.0,0.0677779167890548,221,51.348827196241785,11.5,243.15935593440108,21.73913043478261,243.15935593440108,0.2476112829392589,1.6,14.3,292
training,120.0kW,Proposed,2,0,0.0,0.0,0,62.900000000000006,120.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,292
training,250.0kW,Proposed,2,0,0.0,0.0,0,73.95833333333334,250.0,0.0,1.0,0.0,0.0,0.0,0.0,292
evaluation,1.9kW,Proposed,2,0,0.9284882199657164,0.007379837334156,0,50.57433104625439,1.9,78.94759526909073,131.57894736842104,78.94759526909073,0.0,88.5,15.4,887
evaluation,2.8kW,Proposed,2,0,0.89538105559385,0.0095504950731992,0,50.84220515520943,2.8,89.51759711999809,89.2857142857143,89.51759711999809,0.0,88.3,15.4,887
evaluation,7.7kW,Proposed,2,0,0.93046815097598,0.0071720159612596,0,52.256262138596895,7.7,79.09836380040097,32.467532467532465,79.09836380040097,0.0,84.6,15.4,887
