,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,towards,1,1,0,0,22,50.01161111111111,1.9,0.0,0.6785714285714286,0.3392857142857143,0,0,0,30
1,training,2.8kW,towards,1,1,0,0,3,50.00233333333333,2.8,0.0,1.0,0.5,0,0,0,30
0,evaluation,1.9kW,towards,1,0,0.8907300632364148,0.018294934183359146,0,50.14619444444444,1.9,124.30280732482265,0.0076,62.155203662411324,0,47.3,13.8,285
1,evaluation,2.8kW,towards,1,0,0.8665091860650523,0.020807558670639992,0,50.20066666666666,2.8,132.13140031026882,0.011199999999999998,66.07130015513441,0,9.2,13.8,285
2,evaluation,7.7kW,towards,1,0,0.0,0.0,0,50.5005,7.7,0.0,0.0308,0.0154,0,0.0,0.0,285
3,evaluation,11.5kW,towards,1,0,0.0,0.0,0,50.680416666666666,11.5,0.0,0.046,0.023,0,0.0,0.0,285
4,evaluation,120.0kW,towards,1,0,0.0,0.0,0,56.46666666666667,120.0,0.0,0.48,0.24,0,0.0,0.0,285
5,evaluation,250.0kW,towards,1,0,0.0,0.0,0,62.083333333333336,250.0,0.0,1.0,0.5,0,0.0,0.0,285
0,training,1.9kW,towards,2,1,0.36257848143577576,0.041042495518922806,272,50.274197446162496,1.9,186.17972783833628,0.0076,93.09366391916814,0.20584262431992048,23.0,14.5,302
1,training,2.8kW,towards,2,1,0.3126780688762665,0.04488968849182129,272,50.39518805045252,2.8,194.0746311788164,0.011199999999999998,97.0429155894082,0.22545227342251734,14.0,14.5,302
2,training,7.7kW,towards,2,0,0.0,0.0,0,51.03736111111111,7.7,0.0,0.0308,0.0154,0.0,0.0,0.0,302
3,training,11.5kW,towards,2,0,0.0,0.0,0,51.41513888888889,11.5,0.0,0.046,0.023,0.0,0.0,0.0,302
4,training,120.0kW,towards,2,1,0.006379442289471626,0.07723793387413025,211,63.4839396331622,120.0,257.90710119238474,0.48,129.19355059619238,0.27401573751696684,1.1,14.6,302
5,training,250.0kW,towards,2,1,0.24999697506427765,0.04666066914796829,191,75.3353963198159,250.0,198.94595411503542,1.0,99.97297705751771,0.22289658985739103,51.9,14.6,302
0,evaluation,1.9kW,towards,2,0,0.9348178168716959,0.007164557930082083,0,50.5829474461625,1.9,77.78757105083082,0.0076,38.89758552541541,0,88.5,15.5,887
1,evaluation,2.8kW,towards,2,0,0.9047982908611228,0.008726991713047028,0,50.850188050452516,2.8,85.57122623161588,0.011199999999999998,42.79121311580794,0,93.6,15.5,887
2,evaluation,7.7kW,towards,2,0,0.9371058852026334,0.00687934085726738,0,52.28861111111111,7.7,77.46763371164981,0.0308,38.749216855824905,0,15.3,15.5,887
3,evaluation,11.5kW,towards,2,0,0.9359901621574576,0.007384941913187504,0,53.28388888888889,11.5,80.26392955506601,0.046,40.15496477753301,0,5.6,15.5,887
4,evaluation,120.0kW,towards,2,0,0.848771704566396,0.015872688964009285,0,82.98393963316221,120.0,116.91580634277544,0.48,58.69790317138772,0,80.3,15.5,887
5,evaluation,250.0kW,towards,2,0,0.9313962696392971,0.007558584213256836,0,100.0,250.0,80.0718491833253,1.0,40.53592459166265,0,70.2,15.5,887
0,training,1.9kW,towards,3,0,0.0,0.0,0,50.89591966838472,1.9,0.0,0.0076,0.0038,0.0,88.5,15.5,895
1,training,2.8kW,towards,3,1,0.6932443976402283,0.020014068111777306,593,51.27607314754488,2.8,129.5875145744968,0.011199999999999998,64.7993572872484,0.21452554884908492,7.7,15.6,895
2,training,7.7kW,towards,3,0,0.0,0.0,0,53.55697222222222,7.7,0.0,0.0308,0.0154,0.0,15.3,15.5,895
3,training,11.5kW,towards,3,1,0.867130696773529,0.007856212556362152,593,55.14429339239511,11.5,82.7853499166239,0.046,41.41567495831195,0.20580739861312303,76.8,15.6,895
