,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,oort,1,1,0,0,23,50.01213888888889,1.9,0.0,0.6785714285714286,0.6785714285714286,0,0,0,30
1,training,2.8kW,oort,1,1,0,0,3,50.00233333333333,2.8,0.0,1.0,1.0,0,0,0,30
0,evaluation,1.9kW,oort,1,0,0.8941604440708338,0.01679462380707264,0,50.144083333333334,1.9,119.0969532655016,0.0076,0.0076,0,7.1,13.1,279
1,evaluation,2.8kW,oort,1,0,0.8765405935911451,0.01868564262986183,0,50.196777777777775,2.8,125.21302073842541,0.011199999999999998,0.011199999999999998,0,55.8,13.1,279
2,evaluation,7.7kW,oort,1,0,0.0,0.0,0,50.49194444444444,7.7,0.0,0.0308,0.0308,0,0.0,0.0,279
3,evaluation,11.5kW,oort,1,0,0.0,0.0,0,50.66444444444444,11.5,0.0,0.046,0.046,0,0.0,0.0,279
4,evaluation,120.0kW,oort,1,0,0.0,0.0,0,56.266666666666666,120.0,0.0,0.48,0.48,0,0.0,0.0,279
5,evaluation,250.0kW,oort,1,0,0.0,0.0,0,61.666666666666664,250.0,0.0,1.0,1.0,0,0.0,0.0,279
0,training,1.9kW,oort,2,0,0.0,0.0,0,50.286055555555556,1.9,0.0,0.0076,0.0076,0.0,7.1,13.1,299
1,training,2.8kW,oort,2,0,0.0,0.0,0,50.406,2.8,0.0,0.011199999999999998,0.011199999999999998,0.0,55.8,13.1,299
2,training,7.7kW,oort,2,1,0.12572304904460907,0.05937863141298294,249,51.006722151373594,7.7,227.59460754794728,0.0308,0.0308,0.25743074319299963,5.7,14.7,299
3,training,11.5kW,oort,2,1,0.015023923479020596,0.06853257119655609,227,51.37433350560938,11.5,244.5093038694906,0.046,0.046,0.24184748813307716,0.1,14.7,299
4,training,120.0kW,oort,2,1,0.0,0.08784331381320953,207,63.151293346000756,120.0,275.0440989421788,0.48,0.48,0.26736209853757625,2.5,14.7,299
5,training,250.0kW,oort,2,1,0.013760398142039776,0.06504099071025848,187,74.64095255127918,250.0,234.8838755663325,1.0,1.0,0.2276514192240677,4.9,14.7,299
0,evaluation,1.9kW,oort,2,0,0.9325470203491181,0.0067772944457829,0,50.596916666666665,1.9,75.65605444658644,0.0076,0.0076,0,91.7,14.8,888
1,evaluation,2.8kW,oort,2,0,0.9004461329628142,0.008598189800977707,0,50.86411111111111,2.8,84.9374048440918,0.011199999999999998,0.011199999999999998,0,93.4,14.8,888
2,evaluation,7.7kW,oort,2,0,0.9345834885892881,0.006512855179607868,0,52.26652770692915,7.7,75.37591321544303,0.0308,0.0308,0,5.9,14.8,888
3,evaluation,11.5kW,oort,2,0,0.9311691779194486,0.00746265659108758,0,53.255861283387155,11.5,80.68514890098919,0.046,0.046,0,38.2,14.8,888
4,evaluation,120.0kW,oort,2,0,0.8509545838608473,0.015254490077495575,0,82.78462667933408,120.0,114.61641585260791,0.48,0.48,0,18.7,14.8,888
5,evaluation,250.0kW,oort,2,0,0.937176403086236,0.007408299017697573,0,100.0,250.0,79.27182959331017,1.0,1.0,0,78.6,14.8,888
0,training,1.9kW,oort,3,0,0.0,0.0,0,50.912,1.9,0.0,0.0076,0.0076,0.0,91.7,14.8,896
1,training,2.8kW,oort,3,0,0.0,0.0,0,51.32844444444444,2.8,0.0,0.011199999999999998,0.011199999999999998,0.0,93.4,14.8,896
2,training,7.7kW,oort,3,1,0.9301403760910034,0.008398691192269325,597,53.49562530049158,7.7,85.59584483912347,0.0308,0.0308,0.28835621972405756,56.3,14.9,896
3,training,11.5kW,oort,3,1,0.8907755017280579,0.008138773962855339,597,55.12817299569738,11.5,84.2609535855169,0.046,0.046,0.20967811672221756,35.5,14.9,896
4,training,120.0kW,oort,3,1,0.29724860191345215,0.050782058387994766,597,100.0,120.0,209.12363847926633,0.48,0.48,0.2318828579181945,30.7,14.9,896
5,training,250.0kW,oort,3,1,0.8974752426147461,0.00847905408591032,597,100.0,250.0,84.80731876958885,1.0,1.0,0.22637237853629857,5.1,14.9,896
0,evaluation,1.9kW,oort,3,0,0.9432133541215362,0.005512230563908815,0,51.22127777777778,1.9,68.23060132583761,0.0076,0.0076,0,11.5,14.9,1482
1,evaluation,2.8kW,oort,3,0,0.920651188004689,0.00713023217394948,0,51.78422222222222,2.8,77.34768313883329,0.011199999999999998,0.011199999999999998,0,88.3,14.9,1482
2,evaluation,7.7kW,oort,3,0,0.9465109727154838,0.00550306448712945,0,54.749014189380475,7.7,69.28658833955024,0.0308,0.0308,0,63.0,14.9,1482
3,evaluation,11.5kW,oort,3,0,0.9437904382651757,0.00615517795085907,0,57.00011744014183,11.5,73.276915986548,0.046,0.046,0,71.3,14.9,1482
4,evaluation,120.0kW,oort,3,0,0.8737384515019366,0.01286587305366993,0,100.0,120.0,105.26102802011619,0.48,0.48,0,14.2,14.9,1482
5,evaluation,250.0kW,oort,3,0,0.9455880194290666,0.005810870323330164,0,100.0,250.0,70.20696869921035,1.0,1.0,0,34.6,14.9,1482
0,training,1.9kW,oort,4,0,0.0,0.0,0,51.53425,1.9,0.0,0.0076,0.0076,0.0,11.5,14.9,1489
1,training,2.8kW,oort,4,0,0.0,0.0,0,52.245444444444445,2.8,0.0,0.011199999999999998,0.011199999999999998,0.0,88.3,14.9,1489
2,training,7.7kW,oort,4,1,0.9365988969802856,0.005687488708645105,593,55.98099366277198,7.7,70.43802169225658,0.0308,0.0308,0.2208666033568268,41.6,14.9,1489
3,training,11.5kW,oort,4,1,0.9028319716453552,0.0061090728268027306,593,58.848622172905536,11.5,73.00196117158991,0.046,0.046,0.2780488398830319,62.6,14.9,1489
4,training,120.0kW,oort,4,1,0.42020198702812195,0.041464705020189285,593,100.0,120.0,188.96756475148504,0.48,0.48,0.2603056184712182,23.2,14.9,1489
5,training,250.0kW,oort,4,1,0.9028396606445312,0.006098171696066856,593,100.0,250.0,71.92161884748873,1.0,1.0,0.24739595058887381,5.2,14.9,1489
0,evaluation,1.9kW,oort,4,0,0.9458328312744806,0.004920894280076027,0,51.844055555555556,1.9,64.46701012204062,0.0076,0.0076,0,7.0,14.9,2076
1,evaluation,2.8kW,oort,4,0,0.9283938893883884,0.006238448899239302,0,52.702,2.8,72.34920856236184,0.011199999999999998,0.011199999999999998,0,71.2,14.9,2076
2,evaluation,7.7kW,oort,4,0,0.949779433252372,0.00454746512696147,0,57.23652144054976,7.7,62.98419236836811,0.0308,0.0308,0,16.2,14.9,2076
3,evaluation,11.5kW,oort,4,0,0.9526048520644208,0.005151087883859873,0,60.72376106179443,11.5,67.03418845643216,0.046,0.046,0,70.8,14.9,2076
4,evaluation,120.0kW,oort,4,0,0.8833090378461493,0.011548380367457867,0,100.0,120.0,99.7260266849574,0.48,0.48,0,75.9,14.9,2076
5,evaluation,250.0kW,oort,4,0,0.9446688440100495,0.005412227474153042,0,100.0,250.0,67.75598309303061,1.0,1.0,0,71.2,14.9,2076
0,training,1.9kW,oort,5,0,0.0,0.0,0,52.157555555555554,1.9,0.0,0.0076,0.0076,0.0,7.0,14.9,2083
1,training,2.8kW,oort,5,0,0.0,0.0,0,53.164,2.8,0.0,0.011199999999999998,0.011199999999999998,0.0,71.2,14.9,2083
2,training,7.7kW,oort,5,1,0.943903923034668,0.004848842974752188,594,58.45864631885398,7.7,65.03781409367107,0.0308,0.0308,0.29318255573196167,25.3,14.9,2083
