,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,random,1,1,0,0,22,50.01161111111111,1.9,0.0,50.0,25.0,0,0,0,30
1,training,2.8kW,random,1,1,0,0,3,50.00233333333333,2.8,0.0,50.0,25.0,0,0,0,30
0,evaluation,1.9kW,random,1,0,0.8742267714129678,0.024489875882864,0,50.143027777777775,1.9,143.81652918043704,50.01161111111111,96.91407014577408,0,5.6,13.4,278
1,evaluation,2.8kW,random,1,0,0.8250504291254539,0.028165047988295555,0,50.196,2.8,153.72720157755853,50.00233333333333,101.86476745544593,0,57.3,13.4,278
2,evaluation,7.7kW,random,1,0,0.0,0.0,0,50.485527777777776,7.7,0.0,50.0,25.0,0,0.0,0.0,278
3,evaluation,11.5kW,random,1,0,0.0,0.0,0,50.66125,11.5,0.0,50.0,25.0,0,0.0,0.0,278
4,evaluation,120.0kW,random,1,0,0.0,0.0,0,56.266666666666666,120.0,0.0,50.0,25.0,0,0.0,0.0,278
5,evaluation,250.0kW,random,1,0,0.0,0.0,0,61.59722222222222,250.0,0.0,50.0,25.0,0,0.0,0.0,278
0,training,1.9kW,random,2,0,0.0,0.0,0,50.28447222222222,1.9,0.0,50.143027777777775,25.071513888888887,0.0,5.6,13.4,297
1,training,2.8kW,random,2,1,0.0,0.07927562296390533,268,50.38258380098142,2.8,257.90829203731033,50.196,154.05214601865515,0.29365043457791173,15.6,14.5,297
2,training,7.7kW,random,2,1,0.0,0.07320967316627502,246,50.99399375730847,7.7,252.71505227160296,50.485527777777776,151.60029002469037,0.25903444589227365,5.2,14.6,297
3,training,11.5kW,random,2,1,0.0,0.07808154076337814,226,51.36880183243065,11.5,260.9883150146334,50.66125,155.82478250731668,0.22926284623752427,0.2,14.6,297
4,training,120.0kW,random,2,0,0.0,0.0,0,63.166666666666664,120.0,0.0,56.266666666666666,28.133333333333333,0.0,0.0,0.0,297
5,training,250.0kW,random,2,1,0.0,0.0806409940123558,186,74.5001169263414,250.0,261.5396669762251,61.59722222222222,161.56844459922365,0.2665541138221982,5.2,14.6,297
0,evaluation,1.9kW,random,2,0,0.9306439246782375,0.007582151331007481,0,50.59638888888889,1.9,80.02243004475062,50.28447222222222,65.15345113348641,0,79.2,15.1,888
1,evaluation,2.8kW,random,2,0,0.9073399238938337,0.00968210119754076,0,50.842250467648086,2.8,90.13226449171107,50.38258380098142,70.25742414634624,0,91.7,15.1,888
2,evaluation,7.7kW,random,2,0,0.92672525843735,0.007326712366193533,0,52.258077090641805,7.7,79.94686668608799,50.99399375730847,65.47043022169822,0,55.0,15.2,888
3,evaluation,11.5kW,random,2,0,0.932803752882323,0.007868539541959763,0,53.25671849909732,11.5,82.85027266500607,51.36880183243065,67.10953724871837,0,79.4,15.1,888
4,evaluation,120.0kW,random,2,0,0.8421182519103065,0.01638476364314556,0,82.86666666666666,120.0,118.78676817414751,63.166666666666664,90.97671742040708,0,6.9,15.2,888
5,evaluation,250.0kW,random,2,0,0.9274219722810244,0.007964279502630234,0,100.0,250.0,82.19262989824922,74.5001169263414,78.34637341229532,0,83.3,15.2,888
0,training,1.9kW,random,3,0,0.0,0.0,0,50.912527777777775,1.9,0.0,50.59638888888889,25.298194444444444,0.0,79.2,15.1,896
1,training,2.8kW,random,3,1,0.6772767305374146,0.02328215353190899,599,51.27454686922701,2.8,139.76777387462903,50.842250467648086,95.30501217113856,0.20189140954238827,7.5,15.2,896
2,training,7.7kW,random,3,1,0.8884658813476562,0.008725151419639587,599,53.50049960097637,7.7,87.2435567353321,52.258077090641805,69.75081691298695,0.23301997127807983,49.8,15.2,896
3,training,11.5kW,random,3,1,0.8402360081672668,0.009047238156199455,599,55.129592971757795,11.5,88.83925083536856,53.25671849909732,71.04798466723294,0.2439931526248745,56.1,15.2,896
4,training,120.0kW,random,3,1,0.2832924723625183,0.04875871166586876,599,100.0,120.0,204.91515890060333,82.86666666666666,143.890912783635,0.2643520947643212,41.1,15.2,896
5,training,250.0kW,random,3,0,0.0,0.0,0,100.0,250.0,0.0,100.0,50.0,0.0,83.3,15.2,896
0,evaluation,1.9kW,random,3,0,0.9376070444845185,0.0062276148237288,0,51.22127777777778,1.9,72.52310392656412,50.912527777777775,61.71781585217094,0,55.6,15.2,1482
1,evaluation,2.8kW,random,3,0,0.9200032420404552,0.007604732643812895,0,51.72954686922701,2.8,79.87988828977588,51.27454686922701,65.57721757950145,0,64.5,15.2,1482
2,evaluation,7.7kW,random,3,0,0.9390143779895501,0.005916211754083633,0,54.75174960097637,7.7,71.84039825157835,53.50049960097637,62.67044892627736,0,6.4,15.2,1482
3,evaluation,11.5kW,random,3,0,0.9413002898129536,0.006245311815291643,0,56.99834297175779,11.5,73.8114844312222,55.129592971757795,64.47053870149,0,58.2,15.2,1482
4,evaluation,120.0kW,random,3,0,0.8725562572116949,0.013397326692938805,0,100.0,120.0,107.41305037439264,100.0,103.70652518719632,0,74.0,15.2,1482
5,evaluation,250.0kW,random,3,0,0.9374913632907863,0.006425622384995222,0,100.0,250.0,73.82734153056529,100.0,86.91367076528265,0,79.5,15.2,1482
0,training,1.9kW,random,4,1,0.8922001123428345,0.006773241329938173,593,51.500155323139936,1.9,75.63342826326144,51.22127777777778,63.427353020519604,0.20698286120781956,6.1,15.3,1490
1,training,2.8kW,random,4,0,0.0,0.0,0,52.190769091449226,2.8,0.0,51.72954686922701,25.864773434613504,0.0,64.5,15.2,1490
2,training,7.7kW,random,4,1,0.9154250025749207,0.006394197698682547,593,55.981757667822336,7.7,74.6861213856491,54.75174960097637,64.71893549331273,0.2328346700750674,56.9,15.3,1490
3,training,11.5kW,random,4,1,0.8849202394485474,0.006646826397627592,593,58.85705749079149,11.5,76.14721852391469,56.99834297175779,66.57278074783625,0.21606700080725028,56.7,15.3,1490
4,training,120.0kW,random,4,1,0.37809282541275024,0.04357611760497093,593,100.0,120.0,193.71901110505206,100.0,146.85950555252603,0.2569212553492273,34.9,15.3,1490
5,training,250.0kW,random,4,0,0.0,0.0,0,100.0,250.0,0.0,100.0,50.0,0.0,79.5,15.2,1490
0,evaluation,1.9kW,random,4,0,0.9450049302619311,0.005092305596917868,0,51.809433100917715,1.9,65.58020057333273,51.500155323139936,58.540177948236334,0,6.6,15.2,2075
1,evaluation,2.8kW,random,4,0,0.9282966448503739,0.006559873931109905,0,52.646546869227,2.8,74.18963257181795,52.190769091449226,63.19020083163359,0,81.1,15.2,2075
2,evaluation,7.7kW,random,4,0,0.9474421190797867,0.005245611071586609,0,57.23514655671123,7.7,67.64643591472507,55.981757667822336,61.814096791273705,0,52.5,15.2,2075
3,evaluation,11.5kW,random,4,0,0.947987869951746,0.005451261531561613,0,60.729001935235935,11.5,68.95970348418678,58.85705749079149,63.90838048748913,0,70.7,15.2,2075
4,evaluation,120.0kW,random,4,0,0.8862030922882793,0.011767023243010044,0,100.0,120.0,100.66564530418688,100.0,100.33282265209344,0,92.0,15.2,2075
5,evaluation,250.0kW,random,4,0,0.9458918386636445,0.005785784684121609,0,100.0,250.0,70.05526237367181,100.0,85.0276311868359,0,72.4,15.2,2075
0,training,1.9kW,random,5,1,0.9106544852256775,0.005718807224184275,594,52.08864154511825,1.9,69.49734921609813,51.809433100917715,60.65339115850792,0.2078276109058302,19.2,15.2,2084
1,training,2.8kW,random,5,1,0.7777813076972961,0.013817956671118736,594,53.070898902650306,2.8,107.6756214407059,52.646546869227,80.16108415496645,0.22816949440424025,7.5,15.2,2084
2,training,7.7kW,random,5,1,0.928799033164978,0.005308681167662144,594,58.46676911328918,7.7,68.05189100015573,57.23514655671123,62.64351877843348,0.23562086922451592,67.4,15.2,2084
3,training,11.5kW,random,5,0,0.0,0.0,0,62.626501935235936,11.5,0.0,60.729001935235935,30.364500967617968,0.0,70.7,15.2,2084
4,training,120.0kW,random,5,0,0.0,0.0,0,100.0,120.0,0.0,100.0,50.0,0.0,92.0,15.2,2084
5,training,250.0kW,random,5,1,0.9124761819839478,0.005754868499934673,594,100.0,250.0,69.86784246885749,100.0,84.93392123442874,0.20788549914236845,24.5,15.2,2084
0,evaluation,1.9kW,random,5,0,0.9493578608230221,0.00463792635127902,0,52.39791932289603,1.9,62.586034521788974,52.08864154511825,57.33733803345361,0,16.6,15.3,2669
1,evaluation,2.8kW,random,5,0,0.9335452183954872,0.006085386965423822,0,53.52667668042808,2.8,71.45614351237164,53.070898902650306,62.263521207510976,0,71.2,15.3,2669
2,evaluation,7.7kW,random,5,0,0.94713645679625,0.004757125861942768,0,59.72015800217807,7.7,64.41977404819848,58.46676911328918,61.443271580743826,0,7.8,15.3,2669
3,evaluation,11.5kW,random,5,0,0.951995220139127,0.005033427383750677,0,64.49844637968037,11.5,66.26417266350803,62.626501935235936,64.44533729937199,0,71.2,15.3,2669
4,evaluation,120.0kW,random,5,0,0.8849820211054412,0.010857302695512772,0,100.0,120.0,96.69609797986924,100.0,98.34804898993463,0,84.7,15.2,2669
