learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,resource,elapsed_time
training,1.9kW,random,8,1,0.923090518,0.00474232,584,54.0033748,1.9,64.31944843,26.86990245,45.59467544,0.228404756,73.6,18.9,46.25,4023
training,11.5kW,random,8,1,0.532011509,0.033600509,584,75.31439574,11.5,170.1064987,36.77051281,103.4385057,0.284704793,65.5,18.8,42.15,4023
training,120.0kW,random,8,1,0.867577612,0.009846181,584,100,120,90.89277735,50.24,70.56638868,0.244570231,8.8,18.9,13.85,4023
training,2.8kW,random,8,1,0.93343538,0.004594589,584,55.97317269,2.8,62.2929401,27.78131214,45.03712612,0.200180972,22,18.9,20.45,4023
training,250.0kW,random,8,0,0,0,0,100,250,0,50.5,25.25,0,87.2,18.8,53,4023
training,7.7kW,random,8,0,0,0,0,66.93528461,7.7,0,32.85848675,16.42924337,0,67.8,18.8,43.3,4023
training,1.9kW,random,9,1,0.925332129,0.00463164,583,54.57265887,1.9,63.56444984,27.1574874,45.36096862,0.261882282,59,18.8,38.9,4606
training,11.5kW,random,9,0,0,0,0,79.01675685,11.5,0,38.60019787,19.30009894,0,23.7,18.8,21.25,4606
training,120.0kW,random,9,0,0,0,0,100,120,0,50.24,25.12,0,8.8,18.8,13.8,4606
training,2.8kW,random,9,1,0.937361836,0.004494104,583,56.8347511,2.8,61.60799483,28.21618635,44.91209059,0.246171073,8,18.8,13.4,4606
training,250.0kW,random,9,1,0.951583564,0.003960174,583,100,250,58.77653943,50.5,54.63826971,0.226689217,59.1,18.8,38.95,4606
training,7.7kW,random,9,1,0.924495995,0.00456214,583,69.37120558,7.7,62.20766658,34.09904231,48.15335444,0.265839661,27.6,18.9,23.25,4606
training,1.9kW,random,10,1,0.92836374,0.004522934,584,55.13958263,1.9,62.81408036,27.44212943,45.1281049,0.279237061,60.3,18.8,39.55,5190
training,11.5kW,random,10,1,0.565265894,0.031254359,584,82.67368407,11.5,164.0602132,40.45137843,102.2557958,0.299763745,36.1,18.8,27.45,5190
training,120.0kW,random,10,0,0,0,0,100,120,0,50.24,25.12,0,8.8,18.8,13.8,5190
training,2.8kW,random,10,1,0.938220143,0.004311753,584,57.69443956,2.8,60.34516054,28.64697555,44.49606805,0.262194421,8.2,18.8,13.5,5190
training,250.0kW,random,10,0,0,0,0,100,250,0,50.5,25.25,0,73.1,18.8,45.95,5190
training,7.7kW,random,10,1,0.92944777,0.004363465,584,71.81376633,7.7,60.8380639,35.31700279,48.07753335,0.237639175,24.9,18.8,21.85,5190
